genename Y101_A Y101_B Y101_C Y102_A Y102_B Y102_C Y201_A Y201_B Y201_C Y202_A Y202_B Y202_C Y1015_A Y1015_B Y1015_C
PDGFRB 79639.814886086 74877.1124325205 29589.6356689998 106272.625943453 38318.6875654003 29087.1579690277 82168.0401722521 21646.6403079973 0 196502.332828443 105599.709039988 22988.7345435285 113366.727842882 139539.71813555 48845.3407306785
DLD 1027988.1323656 826157.495278342 194217.070966241 530095.811344169 718143.442637883 873737.160229509 672811.528159921 556881.047537727 80846.1049611415 1510327.94211998 589972.691975093 513313.534559869 647909.893353629 1044444.50415269 350748.735622392
HNRNPA1 6177147.0924806 8380219.09067637 7729590.51914545 9144711.15028573 7183555.48505747 9854867.964203 3164013.62697303 7476835.04257532 1427641.416766 9111083.82049191 8901389.0390668 8199070.50551649 5936174.00458169 5738725.66539726 7145965.29612046
C1S 62399859.4371753 73689719.3446347 46094318.2228192 37497830.4486813 19445798.8183381 21869264.8382255 50385701.4281716 61252204.9514839 25446631.1975568 29454708.8768334 20346905.9610782 14065412.2321014 12570388.9764117 13885058.7827081 17973964.107586
UCHL1 21635606.9261676 17486392.0553396 14448999.433548 20271604.7871123 13328258.6081242 26324964.3424735 2763422.96811958 1904068.29649743 8338683.38886901 22786845.4949625 24841506.8331713 19323676.4824745 111368780.257505 126349787.321421 37950006.6689892
LTA4H 2906934.64883055 2534080.53162168 2885495.07376438 2901728.93588487 2454070.7411029 3441673.30867384 2041763.96212541 2285065.31810463 2572311.52262481 3705446.57053113 3472373.62153396 2403727.31352801 8290156.0802854 12236890.6144458 5748254.3296096
ALDOC 6270627.14452943 9875218.73261154 6970849.89345896 3847823.3453824 6179764.74749385 7113689.08988832 5119090.02305886 9805906.79568768 986116.221028832 9405929.16312488 7768013.43804001 5729608.4273611 9531398.29698309 11307237.8841481 7122345.14677447
C4A 54810.2038148782 94952.9121053463 76488.7695537501 120665.805441553 18235.4129383903 157217.911327348 125244.774226998 60241.5183109945 36617809.6413788 382620.456567189 122762.838952332 61709.825554299 13492.2335615775 20238.9563786556 22700.8754550193
HSPA1A 4001444.76075335 2320658.10615925 3160125.06591705 2758014.03767682 5141111.50833112 5401800.00628301 1514827.79557149 4118730.98619055 5903612.00976022 2449357.08890978 6621387.55477141 4836485.16843226 8340948.61509381 6864008.91016996 9752007.60535952
CBSL 51721.2020726487 32060.0802072502 256558.177322954 144330.931261879 40776.3872588323 221837.427543893 84185.9165116199 141754.739042401 3826.91918476228 73945.3689903713 134784.152464616 161006.039157502 541977.854648183 510811.843967833 205232.100969413
CALM1 1266553.70357697 2532912.67183608 666620.466472406 804249.711771221 632472.054417276 987997.899668045 3748870.79877599 1684410.81767277 1770100.9892739 3219246.93331369 19084755.0570074 400030.538122957 3342789.96183989 17440845.8731175 481941.445089321
SRGN 9505290.14511536 7415434.29382055 2495248.98675418 1042749.04227559 20423789.4817072 35255474.207904 3464826.57540262 4929875.70316995 10127836.8930113 3748148.13105371 10937519.4783968 7649302.29262358 2549700.3454906 983928.431169534 9465290.75384857
TXN 34787016.6678232 24191377.0572146 24034343.1263218 21201779.5943208 15790264.4865576 23158239.7671582 14884032.7164043 27813092.5540958 12077275.7771411 19524584.4613028 29045270.1889421 16421076.526628 48956855.5667546 37056889.7065697 22604376.0466053
CTSA 1109391.09526584 1354866.14936398 496004.61661031 802352.79896886 482889.375100487 307062.994815444 1253323.96730977 954603.642833586 238179.638324094 1252479.07013348 399529.284352344 424859.710191271 827104.303360402 1950914.90173321 353733.980332652
TFPI 8253152.63266646 6240071.50635827 1577495.57499451 6691376.29672503 1537128.74505503 5948116.50488617 7369423.37150905 5139861.2752879 1155790.82665893 8618985.85724005 4693092.65899114 2265833.11803853 6477342.55584459 5894745.91092988 3025757.21629594
ESD 1166553.41122559 231540.532388289 198627.915572225 299560.199071013 691442.37833159 524535.075483111 488409.447222219 109622.332816515 573033.376678434 986614.808176304 742859.081263637 451758.860934945 947748.437100302 1041649.76064036 583450.359656567
HSPD1 1626544.21490932 3563198.28939399 1065526.57400587 2479263.14929484 914926.298508325 4784182.6487275 1088255.10392755 1897049.30043617 522208.889644405 2541751.92794977 605828.830390105 2237024.57380033 2023320.69068694 1574305.0063381 846738.500234534
CLU 30459051.53095 44350360.9478482 16935820.2290186 21982630.6439983 26689425.2631223 35385706.269594 5367873.2923637 9041288.78062255 1363895.58102556 37512283.790556 24129806.5723108 19834452.6578393 37089349.3209924 25297118.2628636 39004174.7384823
HAPLN1 366676.368443084 510989.123125515 329632.507295241 436431.685447923 470241.583086803 157360.94656777 502375.146030236 661545.601420412 2355781.70497717 355663.8538827 335374.411148146 479910.883712781 10267501.8947505 14099269.3811956 21584350.2732554
HSPA5 7061716.66901155 6426850.93013485 12699127.6691014 3727013.35779339 25738703.0863918 27762452.6478588 18814397.5261062 7565211.12047747 9057984.02939699 9762734.32114171 46309358.6468534 16889453.9574484 3056282.12045902 2886557.17724134 7476167.84009018
LAMC1 46757328.181152 64552502.8503068 35701937.5949592 11633507.6859898 11780857.8094392 10610340.3631814 53443166.888632 48391264.1121695 25712148.9973314 16709007.2109322 8879500.42571606 7942273.19017405 4231822.98809617 3778252.05561897 4979023.80212312
HSPA8 37879883.8000583 28912734.5899546 25172803.9344229 40090707.0913105 41214391.3227285 73556981.8606216 30181728.8507732 36590623.70894 15361844.1338139 52073266.2090824 65918641.1443424 43215733.6586807 59368072.8024838 38197966.8059051 38635488.6819254
PYGB 552727.762206461 439533.050943852 636880.836958143 654427.593135912 969498.389855718 1257061.06518208 287107.449447828 732715.811067339 307311.842002788 555262.23044064 281977.363363754 855593.549428925 756719.030597629 554787.345259555 987060.576352737
LAMP1 1505866.93344524 1550916.73050644 577352.11130438 1555272.84355492 780039.038896648 664079.254498881 1200281.11080673 1774608.85222162 574487.121385986 1830864.81569882 956981.176004547 474382.287738005 578224.965031534 1126568.6425906 505713.720059759
G6PD 1328689.23953803 947222.54878353 1172110.76942288 962848.163514094 604874.113516407 1076980.86320197 609897.004191756 1217760.29665788 331038.145063851 957814.1151042 817716.374847319 858370.434131695 4892568.31062657 2665726.53240419 2160433.421131
IGF2R 736531.699460744 754776.906912655 235957.090097994 365972.337271949 405405.026348149 427016.397971837 204092.95825047 304398.111540798 359597.699961711 660181.544066376 283814.950533247 337953.659816372 1259926.75628183 833826.027490914 1736348.40558109
ADH5 4383776.05694991 1683240.62359833 1900701.25492489 2953421.48685636 3034451.70303137 3516578.73684953 2709750.67439191 2494421.22785361 1768998.15785245 3007351.27006917 4013835.555723 2788493.29693908 5801775.62465503 5440348.35378138 2515835.97894852
PABPC1 667019.576161593 884473.809416202 1384458.95771175 804437.701414932 1934998.53866376 2120778.18450736 832251.005490598 984065.383641222 1212765.21389013 1426400.14336021 1415823.82988891 1860853.01403302 1395966.46058956 1210545.51130744 1762240.74322027
HARS 504361.636562237 480739.386652004 584973.785578294 554980.748877044 576038.972133417 714969.003913845 442327.750241993 469384.909667391 96219.969677464 440002.762328194 824998.837910546 423546.397079503 1421135.76664673 1170861.93425257 807009.604730001
COL11A1 110585.716988016 183069.538835011 63787.6796710818 78917.553434603 121771.677107877 227435.084541988 348028.068290892 140349.397284712 418962.255589339 292582.663807772 90986.7199366154 192886.13169376 3039456.84248013 2404361.85033262 4325746.6277543
COL6A1 320496409.578239 292579695.584457 249099155.809529 187819510.628602 141070709.836368 123526767.207642 474148312.846267 370325459.05421 324276238.260186 231212494.608221 125463665.056913 74373526.6512778 69991378.7796866 84269901.7140712 98033297.8121186
COL6A2 121650377.922443 121050146.25903 61770522.3153553 66998692.5560981 39234872.4610087 32533047.3500608 135163263.681321 122096951.844455 67945384.0484664 80255803.7974753 37229057.3793106 23078184.6150294 18457868.5743609 19217841.1986184 23872562.9877818
COL6A3 127858052.436481 162511291.867828 51445774.365071 54113486.9526384 27339009.8360289 9866520.78563526 103406941.138237 109488773.969233 25158847.0343105 58278389.4258346 15871878.8612566 7666542.06550916 10880221.7007029 8110635.60372583 21481896.724574
ACTN1 8608551.01317245 13913906.3249263 6184454.90160426 13005733.3612357 7593399.0699992 14081075.5633945 17168605.2899077 10819860.7580895 7654549.02065962 26045131.1215585 36077170.2122406 7643012.29981215 30164372.8188513 38159355.3246891 14583565.0844217
PEPD 245396.338691475 250739.671103487 276290.854907292 233922.439028818 272039.121711501 156644.654017456 246001.659213165 233348.808392914 99727.4568066267 205512.308074697 880640.855300073 275764.090339005 561659.1507623 1164860.5951934 393646.415091329
XRCC6 405501.828561988 433447.906311358 496946.965921685 434410.628259634 893879.692712603 958506.858990809 507324.616213774 603490.347998646 252454.392893643 587158.174164663 906298.361847596 695118.645835694 305414.329666241 37624.771080684 336761.277159952
XRCC5 254591.736298967 228734.301818875 588239.097752058 107897.119617955 418715.720753971 909195.995201319 106107.88540433 238082.842607488 94921.2062138469 302967.002461282 253126.859281379 716436.366480796 86651.9043637678 10572.6422585768 383520.628326269
IFI30 102869.196869499 346333.72317109 15388.2455120628 76123.8234589655 108830.859855935 74497.3228746451 82230.5214733923 29721.8505729794 2886.10492318194 14151.2172321851 76471.6424158131 25966.4591648698 17407.4859806996 20297.3925721978 11084.0773000535
RNH1 7397033.5036052 4585215.02572546 5097203.53027728 2481390.02315952 2690150.12932096 4043281.30479129 4431826.68603178 5342086.70508247 1469749.53372227 3820006.62893343 3646979.81326323 2490324.79719614 13711381.4560427 17560159.9454351 6534946.79950678
BMP1 5187317.6557348 5933868.31081625 2351118.90050267 6548648.972445 4459429.87499312 7403990.26776328 7956930.97288818 4558089.33561953 9172726.33745562 11009283.3698087 6895546.78837638 5431623.49238052 3956155.37972563 4838590.22903785 4708276.40074826
VCAN 29361565.5653037 23661023.0842124 9596098.1374915 4838387.33326187 5979314.3818555 7752317.0299317 34256341.0076803 20482664.6112103 45506865.7151203 10912467.8788603 12410073.2717992 5347560.85403504 3159786.04103197 4775388.19619673 4985236.25531073
EEF2 15615253.5039048 11409019.336808 14584268.6635182 15961609.6532255 18827240.2161757 30215148.099917 9830911.27014175 16790178.6189493 7775036.05345428 17604571.2295141 23140133.7933146 19445286.8308629 14912628.2943721 8738968.1911135 11479291.5942493
KRT10 271487.068440411 432434.436824343 1015956.71414746 376585.99909029 99594.2966050001 261890.338102512 522119.618280463 222284.901538588 200820.621106126 445681.673988436 4712391.32539477 161836.996590463 256442.417992313 457506.082890287 283842.184989331
P4HA1 79398.9236957324 121630.155232806 363581.988290106 37615.572050626 606497.29044453 1379753.44910726 223869.723902785 52113.465246461 98417.7530020137 259538.370198626 787914.599262879 872534.79591788 72476.6376955998 67263.7221540089 198054.3230595
TPT1 2800223.09933076 2566926.56739965 3264119.25815434 2590709.01290054 5038328.80913067 7317889.60849543 1751680.3197212 4117648.4782571 1252468.12388393 3359892.5625969 8655486.15648942 3696352.79861973 5871707.86508364 4065937.64218112 4252184.18774484
LCP1 123148.809588161 208909.739316991 217015.437771647 346850.85642688 241236.947758984 208705.329415001 72068.3110940157 80679.5380533175 203040.255821251 2217627.38133794 4715812.43543424 2867980.94536233 111642.420399648 109993.341251908 132136.593076491
PLS3 5472611.4243628 5260705.40774378 8971657.56937813 5821474.48689031 4690441.77728532 7098093.46109534 5109366.08030287 9879977.71647848 9085494.89996425 4606836.10471919 5615536.78103782 5762887.29230117 13051067.2485089 12337784.0135009 11497813.5937447
APEH 274227.838495385 364002.259396312 173227.923313452 444831.297034557 320031.360429037 333505.564519607 211460.8309796 334630.258208043 28014.850941934 1038735.24736052 609916.829668223 295701.182689525 689055.608334972 1292076.93343055 446748.071772769
CD59 2043006.8451161 1949307.83907373 1006906.62210112 940171.072901197 1440993.15965861 1294496.82311814 1207020.17244833 994407.990650349 729111.585776966 1262475.36159775 987425.33552491 1184030.56587273 1035025.12055097 1047017.61460691 1347946.70208834
PRKCSH 102549.751807805 16247.0321469632 243883.165311088 14334.1595302571 324357.92572398 782703.861327629 223605.196730417 46176.9275378408 14095.1683046057 293767.284713584 500933.63848819 297398.573928112 37424.7793802537 5997.46582181721 179256.574482194
FDPS 3204496.37684124 1948439.71022209 1748235.2453759 3643796.13667082 1828877.9979451 1930479.32728279 1853440.01015222 3741961.74495087 785127.696436431 2907417.35670782 3066013.94513778 1570958.53818263 12137696.4362612 10515318.3993483 12555627.3856783
NID1 5673298.48441709 6762189.89837819 4499883.76854538 3343368.30287191 8525255.18355716 5504155.38567034 10641785.0365367 9600285.09867844 9636788.14015269 7316876.79918228 7744803.33038324 4795538.94420218 1186246.04306748 1067610.9896822 2631008.55093771
AKR1A1 532591.412622944 586876.724357155 975121.355755637 528261.965340227 909509.603464109 1030212.55490212 442318.182730805 627003.579580434 120156.122458833 787605.051213781 1150920.72184825 878455.492850609 2704473.78095563 3828324.93506425 2392853.46640782
PKM 116255232.747197 90307355.8419269 100255378.741921 103598134.954281 118172344.924536 205413562.226454 61915548.8106542 86898396.8264176 76565235.7296004 113386143.355175 147234002.129442 158916533.428265 169846798.22825 127927373.531258 144183126.513526
HSP90B1 13087.1827221224 5885.6632550255 12816.9770949426 19077.6316203775 97811.1941787841 78872.7792251027 18082.4008301924 27723.0193070966 215004.559571638 26704.2650717269 971199.975273547 62942.3903444754 22209.9003828959 15632.6880454516 25804.4561246676
HNRNPL 398284.166147985 528270.929473025 168181.385657305 609697.818297811 231137.359565486 352805.156539702 403740.905380108 433158.743911876 24846.4509304108 1051949.10338405 392249.878676001 192665.264834565 301651.659798166 178282.820927193 150734.83555307
DARS 61635.1384771912 71535.7834936385 67034.7767762697 122645.795261153 68669.1668013686 106041.829952519 54001.7635501359 39379.1103479466 7868.06251271332 67408.0940770329 117684.666693165 76436.6222083473 102053.215776772 56999.6831260756 43566.9216280307
LIF 55602.4768460018 238597.642821936 89469.0038213708 97890.8325157128 70639.6830467347 133712.716581512 50129.1570550583 81843.740380456 103609.958438713 168021.545067848 218314.596589303 79179.780597612 928327.756324022 1350710.45074505 840409.552977529
GLUL 12994.947600681 12317.661736506 10682.7369641988 12921.0466069192 12406.4188020403 23282.3469984683 14570.4797467379 11281.6920438526 2724.92776129278 9432.75657845365 7058.22591893361 6354.62939122328 108988.234239272 29675.2147375655 130337.265765638
AKR1B1 3595734.94183235 3211201.10279122 2611747.54129007 1973469.22792002 3410139.76762861 3869981.19832392 970094.69915331 904307.129603368 1114361.16525349 3024494.74951413 6557408.02348753 4187107.55810784 11857737.3356953 11088382.7078103 5965697.6111466
PVR 1219254.85565237 1332663.41859346 570811.803340681 1301512.61562938 1699045.60480107 3907867.93188536 594450.186149913 371738.448024564 612387.647513021 2681436.66953768 3316249.84093678 2335171.32335763 2993175.91903176 2129041.85018553 2697589.4314174
GSPT1 49971.415773499 41018.1341660405 306774.440412556 62224.4694013278 91994.9330011211 387114.347140229 52395.2773890485 24050.8564877191 32963.9339944094 35745.2921837656 142439.54112286 210654.593342418 168150.664845535 119289.525089106 201373.209565261
B4GALT1 954721.620157452 1559286.74943658 386707.929642728 1396706.78893866 825294.819728514 1748898.57735822 630283.269950741 910892.692049796 345501.778937471 1164663.9567736 722534.825417472 1043539.98553172 421963.822021637 372557.269383375 781684.19453852
EZR 2210781.17219076 2349867.90711764 2384405.84696781 3288105.85906378 4479087.95573374 4812008.40215335 2209676.03088475 2193681.01365631 1315864.99747511 3779925.33955175 7147226.12772853 3434019.57992817 5826108.8905298 4803885.71289364 3347418.20141138
UCHL3 64703.2134985782 61618.999717019 34388.1997412896 47451.0936718172 29332.7787627167 163770.876425946 24581.5820437938 24707.1319758311 163442.120693293 49986.7031568123 48520.4502680161 48160.2525136488 185184.814413666 146306.000485662 67710.7030907816
NME1 1804205.67614238 891222.633890124 657081.523735872 1078794.69838442 611534.599304353 1141539.43923322 1099833.76212769 1004258.07478093 259952.635491335 1537521.26274166 1227228.72061949 502365.766620699 2043890.54306305 1933389.43819564 626936.878401229
NQO1 556405.694301069 216924.007130035 252884.921003559 42817.7823338397 213762.080995555 288688.836269666 96574.196331658 26150.5718368227 174318.275885232 279130.873078899 598184.802308115 184007.71323688 243070.364566833 217168.962320994 86164.3979364651
GNS 180742.283398595 253195.873361809 69445.676216664 459116.357074969 223460.554072924 204142.223129198 137147.841336464 245340.051465177 40032.2508798289 881123.811228689 276684.310248844 78901.2929713458 62139.9036967874 140776.951848846 96185.9480927236
ARSB 323561.673628946 224674.513335511 211089.207912879 223666.791756282 355926.707028208 478264.079854923 393063.292044126 245400.625159095 1270505.34319191 471448.511264486 419807.629367991 237429.92682306 642972.716852866 973620.99119814 318142.204829223
TIMP2 66842175.373905 82454683.3752766 43792182.6921476 72288922.8565528 53963159.3184781 60704824.7810526 47844167.2876885 67968017.4955907 68654144.4824273 71173268.4419982 57148298.4809015 45537774.8921861 40051591.8004941 30951671.5362849 43718230.9587272
CD44 1662979.54861226 1620635.60860632 823876.472518991 935068.781764004 1402978.95038962 1220576.57614251 1183025.24267609 1486963.26746239 384841.292034319 1773143.57720946 1891133.69258751 1167445.28473515 1685336.308215 1416498.79223926 1333573.59600433
ACAN 105646187.975176 71550965.1248453 85985285.8209348 37656981.0125645 8082561.60003196 3254372.55596517 379167535.602625 269754329.215717 264283429.408278 3841412.00198307 2600505.83578063 2263881.85256274 2262694.23485687 3370635.34367045 2265269.63110215
CBR1 3635653.16830449 2032060.98229045 1117484.21112482 1490039.0765865 1692086.58918073 1711891.38899468 2314458.42860697 862659.817736515 973811.015869409 3097464.6182657 3958248.81313414 1095615.15649313 5749816.69277046 6762584.99954347 2666927.18519084
GLB1 33453.5425342166 26312.4839989536 6512.09724920495 66916.1802601059 19086.741378516 15325.1336183292 19482.1094652196 7477.46009791656 2486.07847599941 91229.5925927381 7195.97284382372 5117.30172685265 140115.244870483 373506.936835526 9277.0600805496
CPE 178852.62078455 197335.597593076 707310.093224411 622348.324148742 1133161.83462201 3196676.10808569 493063.064238423 890554.519359703 1618385.0683422 2093082.57166289 2226624.42527961 2259006.15877806 257766.607624346 227744.933250165 400851.702017857
GOT1 26435.528450885 59407.0891264621 53401.3997261441 158396.741374435 33486.2759621809 103556.453069252 36787.4406702042 103004.222528788 64610.9540092636 169002.821412009 563290.840820216 103638.532080692 532918.877286115 896587.704456235 155956.130993738
NPR3 28741.2542881112 21573.4682621876 105211.112792636 216788.866147201 198402.681844376 371863.711585165 34511.9905157032 55962.35206478 90742.3838463582 289496.098078271 668825.545626976 414410.555256795 17928.7865294463 4399.59810871951 94078.1317650672
PRKACA 8826.48209660317 34601.2282870356 25561.1293958449 16088.0917619254 71921.3172776995 124593.585990843 2525.60645021864 24015.0452995708 1291.17120462258 38584.2634525025 85902.9544272124 58699.8036979861 45491.2557538258 35235.7624307399 47535.9116226476
CAPN2 132757.282198063 62008.5163021268 458782.565679657 70832.2785887749 124156.450067582 310659.393157124 175092.451188621 173349.042520404 454423.621452792 44806.5000747318 223881.720990723 175605.366326423 330437.664679435 106379.316527126 156314.984395621
GM2A 472322.630600605 682013.334068807 395309.464664424 357418.224989671 350059.460620566 358613.452694664 292430.891606511 181388.096702857 234494.73004577 288037.021347323 246759.720060023 246035.082942209 682320.372675393 1029654.10229062 571792.281402473
LGALS3 91456.4485004427 216839.561228572 251358.705429602 265733.339130542 157468.990941368 114653.329878944 113473.892615672 456673.845114543 32203.5158936853 106164.119142163 105564.527524706 73897.7131405753 353305.442650833 514685.850017372 109727.792643794
IGFBP3 9012907.03871413 23338573.0045384 9890634.51888679 5918923.76890162 5986666.17823288 6847647.5473786 14939755.8983883 26785485.7552953 25134037.3456827 7561251.16788479 15187713.84414 4050533.26826522 6797666.43065916 10257952.601058 4605377.02447418
PSMC3 8024.40486844179 24400.3960850723 88492.2285892431 0 225745.198537355 328299.137889186 7344.26399066568 6506.17333274021 27762.6761135913 0 115749.273254612 159082.017392472 37300.8673501847 7556.44592646698 151622.975752592
IGFBP2 2847332.30244281 1211420.65352619 1372786.25835822 25954066.9000562 13132930.3811398 51341554.3340587 1821351.55273601 1295973.01617912 1038314.28212487 10508211.5214666 11004568.9097882 31092917.0870444 572051.192187394 1376683.82648578 619962.642225914
ITGB5 93230.5577064377 347709.7635167 100035.55705394 24054.3538719266 45687.9009236547 40871.568695793 263087.776400063 34278.9246623717 32251.9972440589 3500.39344197408 232869.715115463 32548.76314599 44466.4579623401 59705.9753998171 25373.7808612643
VCL 7666460.59353693 8863054.11412767 5077091.16406959 8403620.99578015 3494996.37069696 7291793.97471488 12675959.2698245 6958409.28784098 21604272.1603584 12863639.8142908 21258485.5918397 4035088.8049473 21115892.5763309 28838738.6549003 5189359.65174431
PGAM1 21050135.63629 10799605.7758532 13557617.601824 14133425.9227985 9546380.1044469 24276174.8644531 7815051.46418833 13220008.8639696 3383864.35571425 16464852.4909465 20544342.0361881 13636756.7244123 19413782.1832704 19050938.6101346 14394117.5153204
PAM 860447.617645549 2216537.37401822 384057.56423769 1686277.91366003 934972.165091149 1425686.93549181 540770.333278817 1163441.82611315 1416723.1009882 913715.060733719 1248575.77507164 862966.782288583 1050637.58622597 885530.11361377 678905.36515967
CDH2 7125699.08919282 10459384.2948067 3711129.6617645 6202814.64123711 14149927.4953671 12410029.2804391 5775885.84292265 5184484.48606116 11399696.019946 10818071.2073589 13473318.2074272 11506025.9314195 8533394.88655867 9089599.45898782 11929908.528328
HK1 1734007.17757747 2413868.65773649 1071588.12743012 2501755.17530104 1336056.98564325 2032650.32348952 965391.528092412 1360704.09676422 976232.458949213 3631071.53842602 1977780.35683106 1487614.04197198 3822828.30449766 4543877.56867679 2373808.39624507
SRM 36156.5251006824 19239.1213506232 51313.7833279908 11411.4188342707 19647.3589938153 81800.7719177528 30521.2591637744 25344.1086502696 724.120453997665 0 31414.2351662704 38438.2810969688 179970.272532213 32394.4420696494 24257.2572602362
ITIH2 4532725.67603 4787032.98754556 4479688.71839656 5742461.79312999 3987377.74519556 10202616.7918645 3097314.35515165 9864085.34005111 38901553.9426974 7945261.32268456 9898969.7834789 9087213.08854345 5817142.9553689 4989012.44115285 4342481.73940811
FST 146370.124369846 297028.294896137 41800.8956012564 144683.234578114 207861.302275589 169855.354562104 237496.886222958 193577.566711708 288793.939787627 350281.94976547 187074.107359937 130653.6419275 333077.376478456 308227.040045563 1105877.02628367
MX1 5058.18130371911 9478.86542612382 2407.60206286271 35664.8082721869 39186.488972339 37469.657248312 11256.7164908894 2388.05645143904 0 31981.0741615878 66361.4479280042 16175.9003460496 16753.0534615313 2798.45644951852 1747.94257050895
PSMB1 21072.5054322743 8554.52026822469 69177.2261682946 13204.7175327385 394450.0231615 271516.266997779 21554.5333617144 337.135139285557 76544.6223188657 16049.4190219417 816005.440648891 63615.5328311969 5930.79349853987 1005.89930040071 199067.039746562
CAST 749040.904598036 1170929.87468844 351760.498527185 676124.026416961 553253.755727317 437909.788432226 905450.994048673 270861.423384773 111664.602545929 1103995.45016388 1478459.36066336 225646.492985116 1345138.79081111 2265346.9079173 442287.861634312
COL5A1 4356159.81331459 4302212.82583695 24087945.7752835 11043543.3920083 25308343.2680506 50309001.9651562 15531405.055328 6153602.44870945 44794579.825836 14456584.8857547 41891195.2315268 28564597.1399678 1765265.39955427 2482247.96387969 10695778.0020824
GSTM3 674318.852054011 242132.975953743 200334.506489559 616809.969532369 537364.840694548 804195.623203616 280525.242150214 114041.693159379 322918.956674262 811644.499119674 975129.049366776 460362.744575488 1493941.69512648 1208502.35582194 712905.234016505
ATP6V1B2 72220.7325166689 207270.935798682 70834.5817309026 216767.361479272 311831.598415684 364345.353286171 58709.4870361226 112287.706304075 304148.796196667 233614.105139207 242406.906047599 106675.104537177 586143.915451981 326733.005690246 199074.931479774
CSRP1 13475082.9809347 10025998.0573351 15913340.7460907 16325871.5146601 15299706.8107828 22049517.1738209 11788807.4569383 13999861.6537597 14574156.0770335 17139781.0299215 19949285.743456 18785203.7839731 44133610.5305715 56698006.5840262 35815098.7352006
FLNA 122881801.03525 145603826.607234 175575434.799758 219730430.519611 136203236.664573 199601108.498565 160573545.920949 203489056.398918 83756969.813222 201553167.804186 225022194.093457 158376201.978363 254528660.217638 263936941.229708 178349168.465392
NT5E 71353.4466554706 109970.921760067 11056.7343301339 30378.3647018483 17279.3621029292 13143.5183366714 21736.3053489098 53836.0694384037 146926.235858461 72077.4931564754 9932.20752774836 6008.52464728909 50638.7438813461 58108.9748770054 53065.2302400623
BGN 32072712.6399251 22908071.4997982 49736091.7239704 39582213.5175045 26157968.1879233 56954650.6043714 203043128.482494 98697334.276619 244072833.588694 63889599.2172315 31241285.1483753 48175808.6595896 3392946.34599057 3222391.8814137 8417476.55630084
PCMT1 437842.30890725 681157.876564978 495715.870996467 687638.375153104 569264.043167541 930813.489105314 266331.805036282 413481.84082677 1069356.15478446 496967.25738441 130520.252971873 486937.633074504 594354.697796406 482968.787360572 643477.04950337
GART 85226.5352722077 48561.938130271 146187.361682882 117073.466834325 131184.3179564 114670.89952312 67429.3580680484 85154.1125688502 50813.2237175776 149630.10400499 89070.4727201763 106133.71009225 429294.445129943 319715.753276488 235606.333086358
TNXB 107317.474651608 425189.133542718 1117605.70208886 137133.290831192 20372.0775196757 73744.3864725313 49317.8129995293 104110.179025734 76686.7930066969 16191.983577142 23351.2596568178 36583.9173299483 6942.22325477022 25094.8292946081 21026.4711784626
PAICS 276442.173878053 216810.603875321 584997.471584194 259559.165633293 395294.485930253 313551.396013026 92450.9070608701 334319.46731227 233326.420313336 192282.232829433 223590.125799784 393033.866085129 205194.524438016 136473.136272812 368281.394208338
IDS 16785.2070389761 11496.5842110411 403.724046756956 7754.6090794599 4894.36249706144 9822.00506115706 0 1941.39924220749 0 18647.6661907051 38208.8072239173 15970.9127155272 46603.1787732352 82959.2149433304 28751.7730446884
UBA1 4842600.50159486 3246602.68918754 3813969.1203252 4656528.36211036 5102346.58359413 10963269.4772235 2495136.73501667 3382613.14166174 1461280.29622809 4719271.64330721 10666382.426718 5960159.90296937 7224620.72991672 5003230.09654894 4237621.55204248
NME2 1448395.63553082 1918555.40759149 3678929.51721668 1031328.00014687 2452875.59476737 3539355.74614366 858473.346663699 3603204.56306053 788992.321198454 2897545.0929528 7213566.6816796 2467773.67873514 3694757.70658618 4096473.47374818 3640513.14387173
IGFBP4 80872280.6489333 90454964.8901363 60091410.5221783 55608961.5671035 53342364.9174985 49030974.7666193 44402712.1282865 70665727.9414605 48946364.3072747 54435297.3520998 29531732.2395632 30644047.3166786 27631731.3981585 19275216.4575317 24007269.1455886
CES1 40296.9601101178 42462.2261311686 30839.9480827191 545765.524905273 89744.2863455538 96925.2178168714 53536.4016224617 23394.7464061868 21974.2398773445 5483625.16674296 2359570.34159529 1039114.69671088 21517.7580687787 23623.1645006224 19173.8195961409
FBLN1 134002515.656919 96351139.890313 83517337.8681893 98186718.4629974 28301055.249043 41377611.4022194 201440043.551677 122164853.906645 66565000.0290877 106840423.011257 33160921.4500136 27009374.0042743 10592492.1857835 6924687.97007568 16311450.3059576
SFPQ 489326.452140576 921799.943832271 616858.361468264 837414.480110712 494818.42121704 867809.862977657 397976.631321699 836860.762151 180606.932156391 505955.12101609 918808.732938291 644547.018923006 751645.979176926 685433.77934177 371088.75641864
PPIB 34678768.7326539 29384422.712999 18995069.5727062 24709439.7112711 20382427.3282174 25397214.0917873 30582531.7347678 26170277.727716 11769922.0076888 41226863.8896682 32158219.41839 19177181.6911074 20322655.1262488 21823425.9336564 13340764.1189547
WARS 437451.970605669 612433.671462902 2704539.18893693 1250078.16466175 1648059.30153267 3541305.98205339 903193.494712735 779494.154301855 1228528.89619778 1553112.49127785 3987885.71890816 2526148.4452963 4270828.69353703 6280490.52831862 2809261.04564923
